month index,date,word count,character count,figure count
0,03/2014,822.64,4938.70,0.85
1,04/2014,749.99,4469.92,1.66
2,05/2014,734.55,4390.13,1.61
3,06/2014,994.50,5876.34,2.07
4,07/2014,961.43,5670.89,2.40
5,08/2014,1005.75,6033.71,2.08
6,09/2014,1035.41,6164.19,2.01
7,10/2014,1018.61,6055.11,2.23
8,11/2014,894.95,5360.11,2.09
9,12/2014,839.19,4999.50,1.87
10,01/2015,759.80,4539.68,1.39
11,02/2015,787.52,4716.64,1.65
12,03/2015,772.40,4624.38,1.04
13,04/2015,799.39,4755.66,1.32
14,05/2015,871.67,5193.84,1.19
15,06/2015,739.89,4407.72,1.17
16,07/2015,787.94,4686.16,1.40
17,08/2015,989.75,5935.31,1.30
18,09/2015,920.19,5463.15,1.42
19,10/2015,885.46,5316.01,2.97
20,11/2015,884.75,5220.07,3.31
21,12/2015,964.29,5724.42,1.81
22,01/2016,1066.92,6375.91,1.40
23,02/2016,1022.31,6148.28,1.29
24,03/2016,1013.35,6096.28,1.33
25,04/2016,1130.31,6817.74,1.48
26,05/2016,1034.83,6223.97,1.57
27,06/2016,984.61,5918.86,1.29
28,07/2016,943.15,5662.95,1.20
29,08/2016,949.55,5652.63,1.13
30,09/2016,1056.91,6325.34,1.45
31,10/2016,924.77,5522.11,1.32
32,11/2016,926.62,5546.66,1.49
33,12/2016,870.31,5200.47,2.13
34,01/2017,984.53,5928.57,1.17
35,02/2017,1143.84,6888.48,1.37
36,03/2017,1172.69,7021.61,1.48
37,04/2017,1102.83,6625.63,1.30
38,05/2017,1159.41,6958.88,1.39
39,06/2017,995.00,5918.05,1.18
40,07/2017,1147.07,6874.92,1.35
41,08/2017,1052.95,6347.25,1.43
42,09/2017,947.88,5671.15,1.65
43,10/2017,992.60,5923.38,1.39
44,11/2017,1011.06,6030.21,1.35
45,12/2017,1016.42,6092.33,1.65
46,01/2018,1035.88,6249.96,1.57
47,02/2018,998.75,6022.89,1.50
48,03/2018,1035.13,6220.39,1.24
49,04/2018,1016.57,6057.02,1.03
50,05/2018,1054.70,6329.04,1.14
51,06/2018,1165.39,7008.05,1.47
52,07/2018,799.00,4980.25,0.50